QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441ABLV829,3,LD07-3395bf,WGbf,2441A,2441ABLV,829,"POLYGON ((5 19, 6 19, 6 20, 5 20, 5 19))",,,,-9,1.5,53.1,23,30.8,,1,Belleville,BLV,,,,,800,,2341A-3,23 INC,,WW115926 x LD00-2817,"SCN HR,HR",4,15,,,"24 SU, UT III, IV",Illini 3849N,3
2441ABLV830,27,LD22-8928,WGbf,2441A,2441ABLV,830,"POLYGON ((6 19, 7 19, 7 20, 6 20, 6 19))",,,,-9,1.5,46.3,21.6,32.8,,1,Belleville,BLV,,,,,800,,2385A-25,,,LD18-14554 x LD10-9168 HOLL (562-579),"HOLL, Rhg1 88788",,,RSSS,SS,,,27
2441ABLV831,27,LD22-8928,WGbf,2441A,2441ABLV,831,"POLYGON ((7 18, 8 18, 8 19, 7 19, 7 18))",,,,-9,1,45.4,21.4,32.9,,2,Belleville,BLV,,,,,800,,2385A-25,,,LD18-14554 x LD10-9168 HOLL (562-579),"HOLL, Rhg1 88788",,,RSSS,SS,,,27
2441ABLV832,28,LD22-10434,PGibl,2441A,2441ABLV,832,"POLYGON ((8 18, 9 18, 9 19, 8 19, 8 18))",,,,-9,2,43.3,21.3,33.3,,2,Belleville,BLV,,,,,800,,2358B-34,,,LD15-1628 x LD11-2170,Rhg1 88788,,,RSSS,SS,,,28
2441ABLV833,8,LD20-3559,WLtbl,2441A,2441ABLV,833,"POLYGON ((9 18, 10 18, 10 19, 9 19, 9 18))",,,,-9,1,48.5,21.4,32.9,,2,Belleville,BLV,,,,,800,,2341A-10,23 INC,,3A53861 x LD12-3903,Rhg1 88788,,,RSSSS,,24 UT IV,,8
2441ABLV834,4,LD16-2955,PLtbl,2441A,2441ABLV,834,"POLYGON ((10 18, 11 18, 11 19, 10 19, 10 18))",,,,-9,1.5,41,22.5,32.3,,2,Belleville,BLV,,,,,800,,2341A-4,23 INC Demo,,LD07-3395 x LD10-10219,SCN R,11,106,,SS,,Illini 4300N,4
2441ABLV835,1,LD15-3818,PLtbl,2441A,2441ABLV,835,"POLYGON ((11 18, 12 18, 12 19, 11 19, 11 18))",,,,-9,1,45.5,21.7,33.4,,2,Belleville,BLV,,,,,800,,2341A-1,23 INC,,LD09-3913 x BN09002129,SCN HR,10,46,,SS,"24 SU, UT IV",Illini 4218N,1
2441ABLV836,9,LD20-12210,PLtbl/Lbl,2441A,2441ABLV,836,"POLYGON ((7 19, 8 19, 8 20, 7 20, 7 19))",,,,-9,1,46.4,21.8,33.7,,2,Belleville,BLV,,,,,800,,2341A-13,23 INC,,LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-5776793 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-3818,"HOLL, Rhg1 88788",,,RSSS,SSS,"24 PT 4TM, MSMC",24PR INC,9
2441ABLV837,2,P38A10,WLtbl,2441A,2441ABLV,837,"POLYGON ((8 19, 9 19, 9 20, 8 20, 8 19))",,,,-9,2,54.2,21.1,34.3,,2,Belleville,BLV,,,,,800,,2341A-2,,,,,,,,,,,2
2441ABLV838,16,LD22-6253,MGbf/ibl,2441A,2441ABLV,838,"POLYGON ((9 19, 10 19, 10 20, 9 20, 9 19))",,,,-9,1,50.9,21.6,32.7,,2,Belleville,BLV,,,,,800,,23GS08-27,,,S13-2743C x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,16
